orderId,customerId,amount,orderDate,location_id,product_id,productName,category_id
52588944,1,0,20/03/2018 06:52:00,5548,542434,Chicken Biryani Handi,28351
52588946,1,945,20/03/2018 08:55:00,5548,542436,Veg Biryani Handi,28351
52588942,1,1956,20/03/2018 09:32:00,5548,542443,Tamatar Ka kut,28351
52588945,1,0,20/03/2018 09:37:00,5548,542787,Aloo 65,28352
52588955,1,2185,21/03/2018 08:25:00,5548,542435,Haleem,28351
52588954,1,1395,21/03/2018 10:13:00,5548,542428,Dum Ka Murgh,28351
52588951,1,1058,21/03/2018 10:27:00,5548,542433,Mutton Shikampur Kebab,28352
52588952,9328592,808,21/03/2018 10:32:00,5548,542445,Sassy Ka Salan,28351
52588953,9328593,585,21/03/2018 11:04:00,5548,542451,Gongura Chicken,28351
52588957,2190438,0,22/03/2018 06:42:00,5548,542445,Mutton Biryani Handi,28351
52588958,6095894,0,22/03/2018 07:15:00,5548,542437,Pao,28351
52588960,670,1868,22/03/2018 08:08:00,5548,542433,Strictly Veggie Box,28352
52588956,63585,896,22/03/2018 08:49:00,5548,542428,Roomali ,28351
52588959,164143,1375,22/03/2018 09:05:00,5548,542434,Burani Raita,28351
52588964,30260,950,23/03/2018 05:42,5548,542435,Non Veggie Box,28351
52588962,62556,1170,23/03/2018 06:13,5548,542439,Deccan Scotch Eggs,28353
52588963,0,1040,23/03/2018 10:07,5548,542459,The Royal Raita,28356
52588961,69250,1545,23/03/2018 11:09,5548,542789,Bagare Baingan,28353
52588972,182593,2961,24/03/2018 08:03,5548,542448,Hyderabadi Mutton Fry,28355
52588968,148428,3230,24/03/2018 08:17,5548,542459,Mutton Korma,28356
52588969,212103,1951,24/03/2018 08:37,5548,542789,Mutton Biryani,28353
52588967,320995,1545,24/03/2018 09:01,5548,542448,Chicken 65,28355
52588970,1651068,1791,24/03/2018 09:11,5548,542789,Vegetable Biryani,28353
52588966,85420,585,24/03/2018 10:16,5548,542449,Steamed Rice,28356
52588973,215165,6218,24/03/2018 10:51,5548,542788,Paneer 65,28352
52588965,162835,2045,24/03/2018 11:37,5548,542433,Chicken Biryani,28352
52588971,397268,1040,24/03/2018 11:46,5548,542787,Malabar Parantha,28352
52588983,241907,3551,25/03/2018 07:11,5548,542459,Khubani Ka Meetha,28356
52588976,1679129,2636,25/03/2018 07:26,5548,542428,Vegetable Korma,28351
52588979,69526,0,25/03/2018 07:29,5548,542434,Hyderabadi Nawabi Aloo,28351
52588982,5570797,2590,25/03/2018 07:50,5548,542441,Veg Shikampur Kebab,28355
52588981,68694,1305,25/03/2018 08:10,5548,542459,Nizams Club Mutton Chutney & Pao,28356
52588980,5570797,1500,25/03/2018 08:17,5548,542443,Andhra Chicken Fry,28351
52588974,121297,3095,25/03/2018 08:49,5548,542444,Shahi Raan Mussallam,28351
52588975,0,0,25/03/2018 09:12,5548,542448,Begums Prawn Masala,28355
52588977,0,895,25/03/2018 09:24,5548,542436,Khatti Daal,28351
52588978,138956,3011,25/03/2018 09:52,5548,542439,Fish Pulusu Curry,28353
52588984,7050968,3096,26/03/2018 07:27,5548,542789,(KG) Mutton Biryani,28353
52588985,899,1300,26/03/2018 08:09,5548,542437,Prawn Pulusu Curry,28351
52588986,84233,1080,26/03/2018 10:59,5548,542436,(KG) Veg Biryani,28351
52588990,0,2392,27/03/2018 05:50,5548,542789,(KG) Mutton,28353
52588989,2025534,0,27/03/2018 08:08,5548,542444,(KG) Chicken Biryani,28351
52588987,41230,1305,27/03/2018 08:42,5548,542459,(KG) Chicken,28356
52588988,10240,3456,27/03/2018 09:40,5548,542435,(KG) Veg,28351
52588991,147842,2376,27/03/2018 10:43,5548,542450,Catering Transport Charge,28351
52588992,164694,1645,28/03/2018 07:41,5548,542434,(KG) Haleem,28351
52588996,0,1256,28/03/2018 07:54,5548,542435,Hyderabadi Mutton Seekh,28351
52588998,6122387,0,28/03/2018 07:55,5548,542437,Murgh Malai Tikka,28351
52588995,71433,3321,28/03/2018 08:04,5548,542435,Naan,28351
52588994,307236,0,28/03/2018 08:29,5548,542459,Gongura Achaar (300 gms),28356
52588997,6919,1050,28/03/2018 08:50,5548,542459,Butter Tandoori Roti,28356
52588993,44983,895,28/03/2018 08:52,5548,542459,Butter Naan,28356
52588999,840725,6935,29/03/2018 06:59,5548,542459,Toasted Pao,28356
52589003,1986711,0,29/03/2018 07:09,5548,542437,Paneer Tikka,28351
52589000,129261,1305,29/03/2018 08:32,5548,542450,Murgh Tikka Nizami,28351
52589002,42759,2420,29/03/2018 09:01,5548,542453,Tandoori Roti,28351
52589004,2177568,0,29/03/2018 09:47,5548,542434,Raw Tamarind Thokku (300 gms),28351
52589001,131350,1080,29/03/2018 09:56,5548,542428,Mango Achaar (300 gms),28351
52589005,1589388,1395,29/03/2018 10:48,5548,542434,Garlic Achaar (300 gms),28351
52589010,0,3870,30/03/2018 06:46,5548,542437,Nimmakaya (Lime) Achaar (300 gms),28351
52589011,63859,6615,30/03/2018 07:24,5548,542448,(KG) Mutton Biryani Boneless,28355
52589009,69250,650,30/03/2018 07:45,5548,542428,(KG) Chicken Biryani Boneless,28351
52589008,148428,2796,30/03/2018 08:45,5548,542434,(KG) Mutton Fry,28351
52589007,15551,1391,30/03/2018 09:11,5548,542450,Vegetable Biryani (Double),28351
52589006,1696145,1395,30/03/2018 10:09,5548,542451,Mutton Biryani (Double),28351
52589012,840725,6835,31/03/2018 06:34,5548,542435,Chicken Biryani (Double),28351
52589013,533519,896,31/03/2018 08:42,5548,542787,Chicken Biryani (Single Combo),28352
52589017,899,1300,01/04/2018 07:51,5548,542437,Vegetable Biryani (Single Combo),28351
52589018,6680637,405,01/04/2018 08:26,5548,542433,Mutton Biryani (Single Combo),28352
52589019,0,650,01/04/2018 10:15,5548,542450,,28351
52589022,1758894,3321,02/04/2018 09:01,5548,542427,,28351
52589021,208673,1940,02/04/2018 10:34,5548,542450,,28351
52589020,208673,2040,02/04/2018 10:40,5548,542789,,28353
52589025,1696145,650,03/04/2018 09:21,5548,542434,,28351
52589024,41248,405,03/04/2018 10:20,5548,542433,,28352
52589023,11366,1305,03/04/2018 10:30,5548,542428,,28351
52589029,8138648,3392,04/04/2018 07:48,5548,542453,,28351
52589028,8138648,1636,04/04/2018 08:03,5548,542459,,28356
52589031,121297,3395,04/04/2018 09:00,5548,542437,,28351
52589027,9107,1305,04/04/2018 10:05,5548,542428,,28351
52589026,214394,4235,04/04/2018 10:17,5548,542451,,28351
52589030,17781,3096,04/04/2018 10:43,5548,542790,,28352
52589037,1694213,1990,06/04/2018 07:01,5548,542433,,28352
52589035,840725,5007,06/04/2018 07:56,5548,542789,,28353
52589039,18407,0,06/04/2018 07:58,5548,542427,,28351
52589034,4491,895,06/04/2018 08:16,5548,542790,,28352
52589038,1697926,2856,06/04/2018 08:21,5548,542434,,28351
52589033,397268,2533,06/04/2018 09:12,5548,542433,,28352
52589036,840725,846,06/04/2018 09:55,5548,542449,,28356
52589032,68785,1305,06/04/2018 11:02,5548,542436,,28351
52589042,9328594,170,07/04/2018 06:30,5548,542443,,28351
52589041,5879303,5090,07/04/2018 07:48,5548,542787,,28352
52589044,110759,1170,07/04/2018 07:56,5548,542435,,28351
52589040,181009,405,07/04/2018 08:41,5548,542451,,28351
52589043,9107,945,07/04/2018 10:43,5548,542437,,28351
52589045,181896,1375,08/04/2018 08:23,5548,542444,,28351
52589050,211677,734,08/04/2018 09:03,5548,542441,,28355
52589049,9107,0,08/04/2018 09:19,5548,542789,,28353
52589046,16185,600,08/04/2018 09:57,5548,542428,,28351
52589047,147744,855,08/04/2018 10:30,5548,542434,,28351
52589051,68785,3101,08/04/2018 10:30,5548,542435,,28351
52589048,147744,100,08/04/2018 10:31,5548,542437,,28351
52589054,159393,995,09/04/2018 06:51,5548,542788,,28352
52589056,2106080,990,09/04/2018 08:44,5548,542451,,28351
52589055,30205,2696,09/04/2018 09:02,5548,542444,,28351
52589052,2047111,3515,09/04/2018 09:34,5548,542789,,28353
52589053,234816,855,09/04/2018 11:59,5548,542434,,28351
52589062,153244,1900,10/04/2018 08:40,5548,542437,,28351
52589058,6087667,0,10/04/2018 08:45,5548,542428,,28351
52589061,8970,1530,10/04/2018 09:04,5548,542788,,28352
52589059,65293,3191,10/04/2018 09:47,5548,542435,,28351
52589060,2869835,806,10/04/2018 10:26,5548,542453,,28351
52589057,6926335,855,10/04/2018 11:03,5548,542439,,28353
52589069,4491,2490,11/04/2018 06:21,5548,542453,,28351
52589064,153244,0,11/04/2018 07:56,5548,542788,,28352
52589063,3270,2045,11/04/2018 08:17,5548,542434,,28351
52589066,77695,3295,11/04/2018 08:25,5548,542437,,28351
52589068,196615,1645,11/04/2018 08:33,5548,542428,,28351
52589067,214394,1571,11/04/2018 09:19,5548,542788,,28352
52589070,214394,1350,11/04/2018 09:22,5548,542789,,28353
52589065,3270,1545,11/04/2018 10:07,5548,542430,,28351
52589071,1942174,0,12/04/2018 07:49,5548,542788,,28352
52589074,100456,0,12/04/2018 08:26,5548,542449,,28356
52589075,105196,2595,12/04/2018 08:45,5548,542445,,28351
52589073,39889,3307,12/04/2018 08:57,5548,542448,,28355
52589072,165866,180,12/04/2018 09:50,5548,542430,,28351
52589077,840725,2036,13/04/2018 09:40,5548,542437,,28351
52589080,0,550,13/04/2018 10:21,5548,542435,,28351
52589081,16185,2023,13/04/2018 10:32,5548,542790,,28352
52589079,41542,3940,13/04/2018 11:04,5548,542789,,28353
52589076,75757,1745,13/04/2018 11:16,5548,542443,,28351
52589078,9148,765,13/04/2018 11:55,5548,542435,,28351
52589082,148502,0,14/04/2018 06:12,5548,542428,,28351
52589083,1694213,1890,14/04/2018 07:42,5548,542433,,28352
